Ticker,Rows,Columns,Has_Close,Close_dtype,Missing_Close_%,First_Date,Last_Date
CKG.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CLC.VN,238,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CLL.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CLW.VN,259,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CMG.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CMV.VN,137,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CMX.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CNG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
COM.VN,166,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CRC.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CRE.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CSM.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CSV.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CTD.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CTF.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CTG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CTI.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CTR.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CTS.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CVT.VN,141,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DAH.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DAT.VN,182,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DBC.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DBD.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DBT.VN,231,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DCL.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DCM.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DGC.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DGW.VN,248,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DHA.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DHC.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DHG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DHM.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DIG.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
DLG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
